🕘️更新时间,#genre#
浙江卫视,http://173.208.212.130:8181/1080p/zjws.m3u8
四川卫视,http://207.56.13.146:81/cdnlive/scws.m3u8
四川卫视,http://58.37.29.210:9001/rtp/233.18.204.99:5140
四川卫视,http://182.135.66.163:18888/rtp/239.94.0.59:5140
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
天津卫视,http://204.12.221.218:8181/3m1080p/tjws.m3u8
天津卫视,http://183.222.15.202:4321/rtp/239.11.0.123:5140
河北卫视,http://173.208.212.130:8181/720p/hews.m3u8
河北卫视,http://204.12.221.218:8181/3m1080p/hews.m3u8
河北卫视,http://221.219.104.6:1193/rtp/239.3.1.148:8072
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=8b37a515ed8ef12821ad07167563e5e1&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=8e0686e725376b7a0d2079c0e2beb3dd&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
安徽卫视,http://207.56.13.146:81/cdnlive/ahws.m3u8
安徽卫视,http://204.12.221.218:8181/3m1080p/ahws.m3u8
安徽卫视,http://221.219.104.6:1193/rtp/239.3.1.211:8064
江西卫视,http://204.12.221.218:8181/3m1080p/jxws.m3u8
江西卫视,http://221.219.104.6:1193/rtp/239.3.1.123:8164
江西卫视,http://183.222.15.202:4321/rtp/239.11.0.42:5140
山东卫视,http://183.222.15.202:4321/rtp/239.11.0.73:5140
山东卫视,http://221.219.104.6:1193/rtp/239.3.1.209:8052
山东卫视,http://222.128.26.62:4001/rtp/239.3.1.209:8052
广西卫视,http://207.56.13.146:81/cdnlive/gxws.m3u8
广西卫视,http://171.8.168.253:8800/rtp/239.16.20.84:10840
广西卫视,http://220.176.218.4:9000/udp/239.252.219.183:5140
海南卫视,http://207.56.13.146:81/cdnlive/lyws.m3u8
海南卫视,http://204.12.221.218:8181/3m1080p/lyws.m3u8
海南卫视,http://183.222.15.202:4321/rtp/239.11.0.193:5140
重庆卫视,http://204.12.221.218:8181/3m1080p/cqws.m3u8
重庆卫视,http://221.219.104.6:1193/rtp/239.3.1.122:8160
重庆卫视,http://222.128.26.62:4001/rtp/239.3.1.122:8160
陕西卫视,http://204.12.221.218:8181/3m1080p/snws.m3u8
陕西卫视,http://207.56.13.146:81/cdnlive/snws.m3u8
陕西卫视,http://183.222.15.202:4321/rtp/239.11.0.54:5140
甘肃卫视,http://204.12.221.218:8181/3m1080p/gsws.m3u8
甘肃卫视,http://112.109.206.208:9999/rtp/239.255.40.16:8208
甘肃卫视,http://183.222.15.202:4321/rtp/239.11.0.55:5140
青海卫视,http://183.47.2.156:16883/udp/239.253.43.125:5146
青海卫视,http://111.8.224.6:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://123.163.114.168:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://198.204.228.26/live/nxws.m3u8
宁夏卫视,http://112.109.206.208:9999/rtp/239.255.40.8:8208
宁夏卫视,http://106.59.3.171:55555/rtp/239.200.200.60:8308
新疆卫视,http://107.150.60.122/live/xjws.m3u8
新疆卫视,http://207.56.13.146:81/cdnlive/xjws.m3u8
新疆卫视,http://112.109.206.208:9999/rtp/239.255.40.11:8208
深圳卫视,http://207.56.13.146:81/cdnlive/szws.m3u8
深圳卫视,http://173.208.212.130:8181/720p/szws.m3u8
深圳卫视,http://204.12.221.218:8181/3m1080p/szws.m3u8
