央视频道,#genre#
睛彩篮球,https://cc05.tv12.xyz/116.m3u8
睛彩青少,https://cc05.tv12.xyz/117.m3u8
睛彩广场舞,https://cc05.tv12.xyz/118.m3u8
古装剧场,https://cc05.tv12.xyz/119.m3u8
动作电影,https://cc05.tv12.xyz/120.m3u8
军旅剧场,https://cc05.tv12.xyz/121.m3u8
家庭剧场,https://cc05.tv12.xyz/122.m3u8
惊悚悬疑,https://cc05.tv12.xyz/123.m3u8
热播精选,https://cc05.tv12.xyz/124.m3u8
精品综合,https://cc05.tv12.xyz/125.m3u8
爱情喜剧,https://cc05.tv12.xyz/126.m3u8
精品大剧,https://cc05.tv12.xyz/127.m3u8
中国功夫,https://cc05.tv12.xyz/128.m3u8
金牌综艺,https://cc05.tv12.xyz/129.m3u8
军事评论,https://cc05.tv12.xyz/130.m3u8
农业致富,https://cc05.tv12.xyz/131.m3u8
精品纪录,https://cc05.tv12.xyz/132.m3u8
怡伴健康,https://cc05.tv12.xyz/133.m3u8
精品体育,https://cc05.tv12.xyz/134.m3u8
潮妈辣婆,https://cc05.tv12.xyz/135.m3u8
炫舞未来,https://cc05.tv12.xyz/136.m3u8
咪咕体育,#genre#
咪咕体育1,https://cc05.tv12.xyz/137.m3u8
咪咕体育2,https://cc05.tv12.xyz/138.m3u8
咪咕体育3,https://cc05.tv12.xyz/139.m3u8
咪咕体育4,https://cc05.tv12.xyz/140.m3u8
咪咕体育5,https://cc05.tv12.xyz/141.m3u8
咪咕体育6,https://cc05.tv12.xyz/142.m3u8
咪咕体育7,https://cc05.tv12.xyz/143.m3u8
咪咕体育8,https://cc05.tv12.xyz/144.m3u8
咪咕体育9,https://cc05.tv12.xyz/145.m3u8
咪咕体育10,https://cc05.tv12.xyz/146.m3u8
咪咕体育11,https://cc05.tv12.xyz/147.m3u8
咪咕体育12,https://cc05.tv12.xyz/148.m3u8
咪咕体育13,https://cc05.tv12.xyz/149.m3u8
咪咕体育14,https://cc05.tv12.xyz/150.m3u8
咪咕体育15,https://cc05.tv12.xyz/151.m3u8
咪咕体育16,https://cc05.tv12.xyz/152.m3u8
咪咕体育17,https://cc05.tv12.xyz/153.m3u8
咪咕体育18,https://cc05.tv12.xyz/154.m3u8


移动专线,#genre#
CCTV1,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/1.m3u8
CCTV5,http://39.134.65.179/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.63.11:6610/PLTV/88888888/224/3221225603/index.m3u8?hls
CCTV6,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.65.175/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.65.183/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.65.181/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8
CCTV11,http://39.135.133.136/PLTV/88888888/224/3221226123/1.m3u8
CCTV12,http://39.135.133.136/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.2/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV14,http://39.134.65.164/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.65.181/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://39.134.65.181/PLTV/88888888/224/3221225708/1.m3u8
